country,iso,region,score,rank
New Zealand,NZL,AP,9.5,1
Denmark,DNK,WE/EU,9.4,2
Finland,FIN,WE/EU,9.4,2
Sweden,SWE,WE/EU,9.3,4
Singapore,SGP,AP,9.2,5
Norway,NOR,WE/EU,9,6
Netherlands,NLD,WE/EU,8.9,7
Australia,AUS,AP,8.8,8
Switzerland,CHE,WE/EU,8.8,8
Canada,CAN,AME,8.7,10
Luxembourg,LUX,WE/EU,8.5,11
Hong Kong,HKG,AP,8.4,12
Iceland,ISL,WE/EU,8.3,13
Germany,DEU,WE/EU,8,14
Japan,JPN,AP,8,14
Austria,AUT,WE/EU,7.8,16
Barbados,BRB,AME,7.8,16
United Kingdom,GBR,WE/EU,7.8,16
Belgium,BEL,WE/EU,7.5,19
Ireland,IRL,WE/EU,7.5,19
Bahamas,BHS,AME,7.3,21
Chile,CHL,AME,7.2,22
Qatar,QAT,MENA,7.2,22
United States of America,USA,AME,7.1,24
France,FRA,WE/EU,7,25
Saint Lucia,LCA,AME,7,25
Uruguay,URY,AME,7,25
United Arab Emirates,ARE,MENA,6.8,28
Estonia,EST,WE/EU,6.4,29
Cyprus,CYP,WE/EU,6.3,30
Spain,ESP,WE/EU,6.2,31
Botswana,BWA,SSA,6.1,32
Portugal,PRT,WE/EU,6.1,32
Taiwan,TWN,AP,6.1,32
Slovenia,SVN,WE/EU,5.9,35
Israel,ISR,MENA,5.8,36
Saint Vincent and the Grenadines,VCT,AME,5.8,36
Bhutan,BTN,AP,5.7,38
Malta,MLT,WE/EU,5.6,39
Cabo Verde,CPV,SSA,5.5,41
Poland,POL,WE/EU,5.5,41
Korea, South,KOR,AP,5.4,43
Brunei Darussalam,BRN,AP,5.2,44
Dominica,DMA,AME,5.2,44
Bahrain,BHR,MENA,5.1,46
Mauritius,MUS,SSA,5.1,46
Rwanda,RWA,SSA,5,49
Costa Rica,CRI,AME,4.8,50
Lithuania,LTU,WE/EU,4.8,50
Oman,OMN,MENA,4.8,50
Seychelles,SYC,SSA,4.8,50
Hungary,HUN,WE/EU,4.6,54
Kuwait,KWT,MENA,4.6,54
Jordan,JOR,MENA,4.5,56
Czech Republic,CZE,WE/EU,4.4,57
Namibia,NAM,SSA,4.4,57
Saudi Arabia,SAU,MENA,4.4,57
Malaysia,MYS,AP,4.3,60
Cuba,CUB,AME,4.2,61
Latvia,LVA,WE/EU,4.2,61
Turkey,TUR,ECA,4.2,61
Georgia,GEO,ECA,4.1,64
South Africa,ZAF,SSA,4.1,64
Croatia,HRV,WE/EU,4,66
Montenegro,MNE,ECA,4,66
Slovakia,SVK,WE/EU,4,66
Ghana,GHA,SSA,3.9,69
Italy,ITA,WE/EU,3.9,69
Brazil,BRA,AME,3.8,73
Tunisia,TUN,MENA,3.8,73
China,CHN,AP,3.6,75
Romania,ROU,WE/EU,3.6,75
Gambia,GMB,SSA,3.5,77
Lesotho,LSO,SSA,3.5,77
Vanuatu,VUT,AP,3.5,77
Colombia,COL,AME,3.4,80
El Salvador,SLV,AME,3.4,80
Greece,GRC,WE/EU,3.4,80
Morocco,MAR,MENA,3.4,80
Peru,PER,AME,3.4,80
Thailand,THA,AP,3.4,80
Bulgaria,BGR,WE/EU,3.3,86
Jamaica,JAM,AME,3.3,86
Panama,PAN,AME,3.3,86
Serbia,SRB,ECA,3.3,86
Sri Lanka,LKA,AP,3.3,86
Bosnia and Herzegovina,BIH,ECA,3.2,91
Liberia,LBR,SSA,3.2,91
Trinidad and Tobago,TTO,AME,3.2,91
Zambia,ZMB,SSA,3.2,91
Albania,ALB,ECA,3.1,95
India,IND,AP,3.1,95
Argentina,ARG,AME,3,100
Benin,BEN,SSA,3,100
Burkina Faso,BFA,SSA,3,100
Djibouti,DJI,SSA,3,100
Gabon,GAB,SSA,3,100
Indonesia,IDN,AP,3,100
Madagascar,MDG,SSA,3,100
Malawi,MWI,SSA,3,100
Mexico,MEX,AME,3,100
Sao Tome and Principe,STP,SSA,3,100
Suriname,SUR,AME,3,100
Tanzania,TZA,SSA,3,100
Algeria,DZA,MENA,2.9,112
Egypt,EGY,MENA,2.9,112
Kosovo,KSV,ECA,2.9,112
Moldova,MDA,ECA,2.9,112
Senegal,SEN,SSA,2.9,112
Vietnam,VNM,AP,2.9,112
Bolivia,BOL,AME,2.8,118
Mali,MLI,SSA,2.8,118
Bangladesh,BGD,AP,2.7,120
Ecuador,ECU,AME,2.7,120
Ethiopia,ETH,SSA,2.7,120
Guatemala,GTM,AME,2.7,120
Iran,IRN,MENA,2.7,120
Kazakhstan,KAZ,ECA,2.7,120
Mongolia,MNG,AP,2.7,120
Mozambique,MOZ,SSA,2.7,120
Solomon Islands,SLB,AP,2.7,120
Armenia,ARM,ECA,2.6,129
Dominican Republic,DOM,AME,2.6,129
Honduras,HND,AME,2.6,129
Philippines,PHL,AP,2.6,129
Syria,SYR,MENA,2.6,129
